;ID;Nr;Messtag;Name;Fahrbahn;Belag;Manoever;Geschwindigkeit;Fahrzeug;Reifen;Reifendruck;Witterung;Stoerung;Mikrofon;Position
104;104;51;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
105;105;51;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
106;106;52;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
107;107;52;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
108;108;53;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
109;109;53;2;Konstantfahrt Blaubasalt feucht;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
110;110;54;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
111;111;54;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
112;112;55;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
113;113;55;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
114;114;56;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
115;115;56;2;Konstantfahrt Stahl feucht;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
116;116;57;2;Beschleunigungsfahrt feucht;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
117;117;57;2;Beschleunigungsfahrt feucht;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
118;118;58;2;Rollen feucht;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
119;119;58;2;Rollen feucht;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
120;120;59;2;Motor aus feucht;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
121;121;59;2;Motor aus feucht;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
122;122;60;2;Teilbremsung Asphalt feucht;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
123;123;60;2;Teilbremsung Asphalt feucht;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
124;124;61;2;Teilbremsung Blaubasalt feucht;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
125;125;61;2;Teilbremsung Blaubasalt feucht;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
126;126;62;2;Teilbremsung Stahl feucht;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
127;127;62;2;Teilbremsung Stahl feucht;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
128;128;63;2;Vollbremsung Asphalt feucht;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
129;129;63;2;Vollbremsung Asphalt feucht;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
130;130;64;2;Vollbremsung Blaubasalt feucht;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
131;131;64;2;Vollbremsung Blaubasalt feucht;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
132;132;65;2;Vollbremsung Stahl feucht;Oval;Stahlbahn;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
133;133;65;2;Vollbremsung Stahl feucht;Oval;Stahlbahn;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
134;134;66;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
135;135;66;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
136;136;67;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
137;137;67;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
138;138;68;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
139;139;68;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
140;140;69;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;1
141;141;69;2;Kurvenfahrt ESC-Kreisel feucht;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;feucht;keine;PCB - Kein;2
142;142;70;2;Parallelfahrt;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;1
143;143;70;2;Parallelfahrt;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;2
144;144;71;2;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;1
145;145;71;2;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;2
146;146;72;2;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;1
147;147;72;2;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;feucht;LKW/Sattelzug parallel;PCB - Kein;2
148;148;73;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;1
149;149;73;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;2
150;150;74;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;1
151;151;74;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;2
152;152;75;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;1
153;153;75;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;9 bar;feucht;keine;PCB - Kein;2
154;154;76;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;1
155;155;76;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;2
156;156;77;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;1
157;157;77;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;2
158;158;78;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;1
159;159;78;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;6 bar;feucht;keine;PCB - Kein;2
160;160;79;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
161;161;79;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
162;162;80;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
163;163;80;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
164;164;81;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
165;165;81;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
166;166;82;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
167;167;82;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
168;168;83;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
169;169;83;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
170;170;84;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
171;171;84;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
172;172;85;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
173;173;85;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
174;174;86;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
175;175;86;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
176;176;87;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
177;177;87;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
178;178;88;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
179;179;88;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
180;180;89;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
181;181;89;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
182;182;90;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
183;183;90;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
184;184;91;2;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
185;185;91;2;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
186;186;92;2;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
187;187;92;2;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
188;188;93;2;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
189;189;93;2;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
190;190;94;2;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
191;191;94;2;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
192;192;95;2;Teilbremsung Blaubasalt nass;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
193;193;95;2;Teilbremsung Blaubasalt nass;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
194;194;96;2;Teilbremsung Stahl nass;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
195;195;96;2;Teilbremsung Stahl nass;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
196;196;97;2;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
197;197;97;2;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
198;198;98;2;Vollbremsung Blaubasalt nass;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
199;199;98;2;Vollbremsung Blaubasalt nass;Oval;Blaubasalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
200;200;99;2;Vollbremsung Stahl nass;Oval;Stahlbahn;Vollbremsung;40 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
201;201;99;2;Vollbremsung Stahl nass;Oval;Stahlbahn;Vollbremsung;40 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
202;202;100;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
203;203;100;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
204;204;100;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
205;205;100;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
206;206;101;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
207;207;101;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
208;208;101;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
209;209;101;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
210;210;102;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
211;211;102;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
212;212;103;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
213;213;103;2;Kurvenfahrt ESC-Kreisel nass;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
214;214;104;2;Parallelfahrt;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;1
215;215;104;2;Parallelfahrt;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;2
216;216;105;2;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;1
217;217;105;2;Ueberholvorgang passiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;2
218;218;106;2;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;1
219;219;106;2;Ueberholvorgang aktiv;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;LKW/Sattelzug parallel;PCB - Kein;2
220;220;107;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;1
221;221;107;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;2
222;222;108;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;1
223;223;108;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;2
224;224;109;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;1
225;225;109;2;Reifendruck hoch;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;9 bar;nass;keine;PCB - Kein;2
226;226;110;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;1
227;227;110;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;2
228;228;111;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;1
229;229;111;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;2
230;230;112;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;1
231;231;112;2;Reifendruck niedrig;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;6 bar;nass;keine;PCB - Kein;2
232;232;113;2;Schlechtwegestrecke;Oval;Schlechtwegestrecke;Konstantfahrt;20 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
233;233;113;2;Schlechtwegestrecke;Oval;Schlechtwegestrecke;Konstantfahrt;20 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;2
234;234;114;2;Teilbremsung Blaubasalt nass;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kein;1
