ID;Nr;Messtag;Name;Fahrbahn;Belag;Manoever;Geschwindigkeit;Fahrzeug;Reifen;Reifendruck;Witterung;Stoerung;Mikrofon;Position
366;179;3;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
367;179;3;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
368;180;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
369;180;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
370;181;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
371;181;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
372;182;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
373;182;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
374;183;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
375;183;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
376;184;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
377;184;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
378;185;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
379;185;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
380;186;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
381;186;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
382;187;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;1
383;187;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Puschel;2
384;188;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
385;188;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
386;189;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
387;189;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
388;190;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
389;190;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
390;191;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
391;191;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
392;192;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
393;192;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
394;193;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
395;193;3;Konstantfahrt Asphalt trocken;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
396;194;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
397;194;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
398;195;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
399;195;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
400;196;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
401;196;3;Konstantfahrt Beton trocken;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
402;197;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
403;197;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
404;198;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
405;198;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
406;199;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
407;199;3;Konstantfahrt Blaubasalt trocken;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
408;200;3;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
409;200;3;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
410;201;3;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
411;201;3;Konstantfahrt Stahl trocken;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
412;202;3;Beschleunigungsfahrt trocken;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;1
413;202;3;Beschleunigungsfahrt trocken;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;2
414;203;3;Rollen trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;1
415;203;3;Rollen trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;2
416;204;3;Motor aus trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;1
417;204;3;Motor aus trocken;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;trocken;Beregnung an;PCB - Kondom;2
418;205;3;Teilbremsung Asphalt trocken;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
419;205;3;Teilbremsung Asphalt trocken;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
420;206;3;Teilbremsung Blaubasalt trocken;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
421;206;3;Teilbremsung Blaubasalt trocken;Oval;Blaubasalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
422;207;3;Teilbremsung Stahl trocken;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
423;207;3;Teilbremsung Stahl trocken;Oval;Stahlbahn;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
424;208;3;Vollbremsung Asphalt trocken;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
425;208;3;Vollbremsung Asphalt trocken;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
426;209;3;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
427;209;3;Vollbremsung Blaubasalt trocken;Oval;Blaubasalt;Vollbremsung;50 - 0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
428;210;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
429;210;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
430;211;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
431;211;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
432;212;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
433;212;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
434;213;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
435;213;3;Kurvenfahrt ESC-Kreisel trocken;ESC-Kreisel;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
436;214;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
437;214;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
438;215;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
439;215;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
440;216;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
441;216;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
442;217;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;1
443;217;3;Kurvenfahrt Fahrdynamikflaeche;Fahrdynamikflaeche;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;2
444;218;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
445;218;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
446;219;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
447;219;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
448;220;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
449;220;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
450;221;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
451;221;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
452;222;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
453;222;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
454;223;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
455;223;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
456;224;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
457;224;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
458;225;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
459;225;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
460;226;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
461;226;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
462;227;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
463;227;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
464;228;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
465;228;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
466;229;3;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
467;229;3;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
468;230;3;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
469;230;3;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
470;231;3;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
471;231;3;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
472;232;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
473;232;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
474;233;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
475;233;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
476;234;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
477;234;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
478;235;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;1
479;235;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;2
480;236;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;3
481;236;3;Stillstand Motor aus;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;4
482;237;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;3
483;237;3;Stillstand Leerlauf;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;4
484;238;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;3
485;238;3;Stillstand Drehzahlerhoehung;Oval;Asphalt;Stillstand;0 km/h;W75;Goodyear;8 bar;trocken;keine;PCB - Kondom;4
486;239;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
487;239;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
488;240;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
489;240;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
490;241;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
491;241;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
492;242;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
493;242;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
494;243;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
495;243;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
496;244;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
497;244;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
498;245;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
499;245;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
500;246;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
501;246;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
502;247;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
503;247;3;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
504;248;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
505;248;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
506;249;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
507;249;3;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
508;250;3;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
509;250;3;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
510;251;3;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
511;251;3;Rollen nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
512;252;3;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
513;252;3;Motor aus nass;Oval;Asphalt;Rollen;80 - X km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
514;253;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
515;253;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
516;254;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
517;254;3;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
518;255;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
519;255;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
520;256;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
521;256;3;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
522;257;3;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
523;257;3;Teilbremsung Asphalt nass;Oval;Asphalt;Teillastbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
524;258;3;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;3
525;258;3;Vollbremsung Asphalt nass;Oval;Asphalt;Vollbremsung;80 - 0 km/h;W75;Goodyear;8 bar;nass;keine;PCB - Kondom;4
